webtitle,sectionname,publisheddate,webLinks
UK ministers head to India in search of trade deal they hope will boost economy,World news,2025-02-23T22:30:47Z,https://www.theguardian.com/world/2025/feb/23/ministers-head-to-india-in-search-of-trade-deal-they-hope-will-boost-uk-economy
‘There has been an awakening’: ancient sects on the rise in Modi’s India,World news,2025-02-16T09:00:05Z,https://www.theguardian.com/world/2025/feb/16/modi-india-kumbh-mela-hindu-festival-sects
"Global disunity, energy concerns and the shadow of Musk: key takeaways from the Paris AI summit ",Technology,2025-02-14T05:00:07Z,https://www.theguardian.com/technology/2025/feb/14/global-disunity-energy-concerns-and-the-shadow-of-musk-key-takeaways-from-the-paris-ai-summit
Tycoon profited after India relaxed border security rules for energy park,World news,2025-02-12T05:00:18Z,https://www.theguardian.com/world/2025/feb/12/tycoon-profited-after-india-relaxed-border-security-rules-for-energy-park
Keir Starmer opts not to attend international AI summit in Paris,Technology,2025-02-05T16:34:05Z,https://www.theguardian.com/politics/2025/feb/05/keir-starmer-opts-not-to-attend-international-ai-summit-in-paris
How joy turned to horror as Kumbh Mela festival crowd crush unfolded,World news,2025-01-30T13:26:19Z,https://www.theguardian.com/world/2025/jan/30/kumbh-mela-festival-crowd-crush-india
Manmohan Singh obituary,World news,2024-12-29T16:37:51Z,https://www.theguardian.com/world/2024/dec/29/manmohan-singh-obituary
Huge election year worldwide sees weakening commitment to act on climate crisis,Environment,2024-11-23T11:00:40Z,https://www.theguardian.com/environment/2024/nov/23/election-climate-change-far-right
"Who is Gautam Adani, the Indian billionaire charged in the US over bribery plot?",Business,2024-11-21T15:25:29Z,https://www.theguardian.com/business/2024/nov/21/who-is-gautam-adani-the-indian-billionaire-charged-in-the-us-over-bribery-plot
Keir Starmer to restart UK-India talks after previous negotiations stalled,Politics,2024-11-18T22:00:19Z,https://www.theguardian.com/politics/2024/nov/18/keir-starmer-restart-uk-india-talks-previous-negotiations-stalled
Narendra Modi to make ‘historic’ Guyana visit for energy talks,World news,2024-11-18T05:00:29Z,https://www.theguardian.com/world/2024/nov/18/narendra-modi-to-make-historic-guyana-visit-for-energy-talks
Narendra Modi condemns attack on Hindu temple in Canada as tensions rise,World news,2024-11-04T17:21:06Z,https://www.theguardian.com/world/2024/nov/04/canada-hindu-temple-attack-modi
Canada alleges Indian minister behind plot to target Sikh separatists,World news,2024-10-30T10:37:15Z,https://www.theguardian.com/world/2024/oct/30/canada-alleges-indian-minister-amit-shah-plot-to-target-sikh-separatists
Tuesday briefing: Canada puts India ‘on notice’ as row over alleged killing of Sikh activists escalates,World news,2024-10-22T05:44:10Z,https://www.theguardian.com/world/2024/oct/22/tuesday-briefing-how-canada-and-indias-year-long-diplomatic-row-has-escalated
"Drive-by shootings, arson and murder: is the Indian government trying to silence Canada’s Sikh activists?",World news,2024-10-19T11:00:16Z,https://www.theguardian.com/world/2024/oct/19/india-sikh-activists-violence
UK calls for India to cooperate with Canada’s legal process as row deepens,World news,2024-10-16T09:30:54Z,https://www.theguardian.com/world/2024/oct/16/uk-india-cooperation-canada-legal-process
Why has Canada accused Indian diplomats of ‘criminal’ activities?,World news,2024-10-15T15:33:47Z,https://www.theguardian.com/world/2024/oct/15/canada-india-tensions-explainer-fatal-shooting-sikh-leader-hardeep-singh-nijjar
Canadian police accuse India of working with criminal network to kill dissidents,World news,2024-10-15T14:39:55Z,https://www.theguardian.com/world/2024/oct/15/canadian-police-accuse-india-criminal-network-kill-dissidents
Canadian police accuse Indian diplomats of ‘criminal’ activities including homicides,World news,2024-10-14T23:21:48Z,https://www.theguardian.com/world/2024/oct/14/india-canada-expel-top-diplomats-escalating-row-sikh-activists-death-hardeep-singh-nijjar
Opposition Congress party wins power in Indian-administered Kashmir,World news,2024-10-08T15:40:46Z,https://www.theguardian.com/world/2024/oct/08/opposition-congress-party-wins-power-in-indian-administered-kashmir
"Hi-tech, strategic: new wave of Kashmir militant attacks before elections stuns Indian forces",World news,2024-09-14T12:00:27Z,https://www.theguardian.com/world/2024/sep/14/hi-tech-strategic-new-wave-of-kashmir-militant-attacks-before-elections-stuns-indian-forces
These 21st-century demagogues aren’t mavericks – they’ve repeated on us throughout history | George Monbiot,Opinion,2024-09-06T05:00:17Z,https://www.theguardian.com/commentisfree/article/2024/sep/06/21st-century-demagogues-history-patterns
Why fascists hate universities | Jason Stanley,Opinion,2024-09-05T17:00:01Z,https://www.theguardian.com/commentisfree/article/2024/sep/05/why-fascists-hate-universities-us-bangladesh-india
Farming the Revolution review – low-key look at Indian farmers’ street-camp protests,Film,2024-08-26T12:00:31Z,https://www.theguardian.com/film/article/2024/aug/26/farming-the-revolution-review-low-key-look-at-indian-farmers-street-camp-protests
Ukraine war briefing: Biden and Zelenskiy talk as Ukraine prepares to mark independence day,World news,2024-08-24T05:09:29Z,https://www.theguardian.com/world/article/2024/aug/24/ukraine-war-briefing-biden-and-zelenskiy-talk-as-ukraine-prepares-to-mark-independence-day
Modi tells Zelenskiy he is ready to work ‘as a friend’ to bring about peace deal,World news,2024-08-23T16:56:01Z,https://www.theguardian.com/world/article/2024/aug/23/modi-to-visit-ukraine-amid-controversy-over-hug-for-putin
Five of the best books about Indian politics,Books,2024-08-15T13:16:27Z,https://www.theguardian.com/books/article/2024/aug/15/five-of-the-best-books-about-indian-politics-rahul-bhatia
Priyanka Gandhi: Congress party pins hopes on charismatic member of India’s political dynasty,World news,2024-08-14T01:00:28Z,https://www.theguardian.com/world/article/2024/aug/14/priyanka-gandhi-congress-party-pins-hopes-on-charismatic-member-of-indias-political-dynasty
The New India by Rahul Bhatia review – how nationalism changed a country,Books,2024-07-31T06:30:16Z,https://www.theguardian.com/books/article/2024/jul/31/the-new-india-by-rahul-bhatia-review-how-nationalism-changed-a-country
Why is Modi sucking up to Putin? It’s simple and cynical: China and oil | Sergey Radchenko,Opinion,2024-07-10T10:00:53Z,https://www.theguardian.com/commentisfree/article/2024/jul/10/modi-putin-simple-cynical-china-oil-russia-india
Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z,https://www.theguardian.com/world/article/2024/jul/09/modi-putin-summit-bonds-of-friendship-ukraine-tensions
India PM Modi to meet Putin in first trip to Russia since Ukraine war began,World news,2024-07-05T01:48:48Z,https://www.theguardian.com/world/article/2024/jul/05/india-pm-narendra-modi-vladimir-putin-russia-meeting
Open letter in India calls for withdrawal of go-ahead to prosecute Arundhati Roy,World news,2024-06-23T15:59:48Z,https://www.theguardian.com/world/article/2024/jun/23/india-open-letter-prosecution-arundhati-roy
The hounding of Arundhati Roy shows there’s still no room for dissent in India | Salil Tripathi,Opinion,2024-06-21T14:32:37Z,https://www.theguardian.com/commentisfree/article/2024/jun/21/arundhati-roy-india-bjp-elections-booker-prize
Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z,https://www.theguardian.com/world/article/2024/jun/17/india-coalition-government-narendra-modi-analysis
India: author Arundhati Roy to be prosecuted over 2010 Kashmir remarks,World news,2024-06-15T14:07:37Z,https://www.theguardian.com/world/article/2024/jun/15/india-author-arundhati-roy-to-be-prosecuted-over-2010-kashmir-remarks
Narendra Modi sworn in for third term as prime minister of India,World news,2024-06-09T15:21:08Z,https://www.theguardian.com/world/article/2024/jun/09/narendra-modi-sworn-in-for-third-term-as-prime-minister-of-india
‘Indian democracy fought back’: Modi humbled as opposition gains ground,World news,2024-06-09T10:08:10Z,https://www.theguardian.com/world/article/2024/jun/09/indian-elections-democracy-modi-opposition-gains-analysis
‘A sweet breeze amid a heatwave’: liberals feel hope again following Narendra Modi’s loss of his majority,World news,2024-06-08T16:08:56Z,https://www.theguardian.com/world/article/2024/jun/08/a-sweet-breeze-amid-a-heatwave-liberals-feel-hope-again-following-narendra-modis-loss-of-his-majority-india
Muted election win for Modi may usher in new era for India’s oligarch class,World news,2024-06-07T13:27:17Z,https://www.theguardian.com/world/article/2024/jun/07/muted-election-win-for-modi-may-usher-in-new-era-for-indias-oligarch-class
British Indians: share your reaction to the election in India,World news,2024-06-07T10:29:05Z,https://www.theguardian.com/world/article/2024/jun/07/british-indians-share-your-reaction-to-the-election-in-india
Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z,https://www.theguardian.com/world/article/2024/jun/06/narendra-modi-first-coalition-test-allied-parties-cabinet-seats
Thursday briefing: Narendra Modi reaches a crossroads as India denies him a majority in election upset,World news,2024-06-06T05:49:38Z,https://www.theguardian.com/world/article/2024/jun/06/first-edition-india-election-modi-future
Narendra Modi wins backing of allies to form Indian government,World news,2024-06-05T18:28:43Z,https://www.theguardian.com/world/article/2024/jun/05/narendra-modi-wins-backing-of-allies-to-form-indian-government
"‘Bit of a moment for Rahul Gandhi’: new dawn for India’s opposition, but where to now?",World news,2024-06-05T18:13:26Z,https://www.theguardian.com/world/article/2024/jun/05/rahul-gandhi-india-opposition-gains-ground-election-modi
The Guardian view on Modi’s election disappointment: the winner is democracy in India | Editorial,Opinion,2024-06-05T17:30:28Z,https://www.theguardian.com/commentisfree/article/2024/jun/05/the-guardian-view-on-modis-election-disappointment-the-winner-is-democracy-in-india
How voters turned against Narendra Modi in his party’s heartland,World news,2024-06-05T15:25:05Z,https://www.theguardian.com/world/article/2024/jun/05/how-voters-turned-again-narendra-modi-in-his-partys-heartland
The hidden story behind India’s remarkable election results: lethal heat | Amitava Kumar,Opinion,2024-06-05T14:14:46Z,https://www.theguardian.com/commentisfree/article/2024/jun/05/india-election-results-heat-bjp-cllmate-crisis
Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z,https://www.theguardian.com/world/article/2024/jun/04/india-election-results-narendra-modi-bjp
Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z,https://www.theguardian.com/world/article/2024/jun/04/narendra-modi-loses-aura-of-invincibility-as-predicted-landslide-fails-to-materialise
John Oliver on Narendra Modi: ‘India seems to be sliding toward authoritarianism’,Television & radio,2024-06-03T16:24:03Z,https://www.theguardian.com/tv-and-radio/article/2024/jun/03/john-oliver-narendra-modi-india
India elections: exit polls show Narendra Modi expected to win historic third term,World news,2024-06-03T03:50:16Z,https://www.theguardian.com/world/article/2024/jun/03/india-election-results-exit-polls-narendra-modi-victory
